matrix,scaling_type,read_mode,mpi_ranks,omp_threads,status,spmv_total_p90_ms,spmv_comm_p90_ms,spmv_comp_p90_ms,gflops,dist_sum_mb,iter_sum_mb,nnz_min,nnz_avg,nnz_max
matrices/strong/af_shell9.mtx,strong,mpiio,32,2,OK,13.839,13.355,0.484,2.541919,268.384,15.407,0,549650.59,2194741
matrices/strong/af_shell9.mtx,strong,mpiio,32,4,OK,5.206,4.504,0.701,6.757612,268.384,15.407,0,549650.59,2194741
matrices/strong/af_shell9.mtx,strong,mpiio,64,2,OK,13.959,10.110,3.850,2.519987,268.383,30.814,0,274824.38,2186545
matrices/strong/thermal2.mtx,strong,mpiio,1,2,OK,18.810,2.133,16.677,0.912301,130.925,9.369,8580313,8580313.00,8580313
matrices/strong/thermal2.mtx,strong,mpiio,1,4,OK,18.968,2.156,16.813,0.904698,130.925,9.369,8580313,8580313.00,8580313
matrices/strong/thermal2.mtx,strong,mpiio,1,8,OK,19.292,2.125,17.166,0.889526,130.925,9.369,8580313,8580313.00,8580313
matrices/strong/thermal2.mtx,strong,mpiio,2,2,OK,10.056,1.087,8.968,1.706543,130.925,9.369,4275106,4290155.50,4305205
matrices/strong/thermal2.mtx,strong,mpiio,2,4,OK,10.269,1.084,9.184,1.671160,130.925,9.369,4275106,4290155.50,4305205
matrices/strong/thermal2.mtx,strong,mpiio,2,8,OK,10.580,1.090,9.489,1.622050,130.925,9.369,4275106,4290155.50,4305205
matrices/strong/thermal2.mtx,strong,mpiio,4,2,OK,13.350,3.516,9.833,1.285438,130.925,18.738,189590,2145076.75,4115613
matrices/strong/thermal2.mtx,strong,mpiio,4,4,OK,13.784,3.641,10.143,1.244972,130.925,18.738,189590,2145076.75,4115613
matrices/strong/thermal2.mtx,strong,mpiio,4,8,OK,14.260,11.628,2.632,1.203405,130.925,18.738,189590,2145076.75,4115613
matrices/strong/thermal2.mtx,strong,mpiio,8,2,OK,9.448,7.870,1.578,1.816311,130.925,18.738,16962,1072537.50,2132281
matrices/strong/thermal2.mtx,strong,mpiio,8,4,OK,9.613,2.308,7.304,1.785227,130.925,18.738,16962,1072537.50,2132281
matrices/strong/thermal2.mtx,strong,mpiio,8,8,OK,10.151,7.953,2.198,1.690548,130.925,18.738,16962,1072537.50,2132281
matrices/strong/thermal2.mtx,strong,mpiio,16,2,OK,16.374,13.429,2.944,1.048046,130.925,37.477,11,536267.88,2056376
matrices/strong/thermal2.mtx,strong,mpiio,16,4,OK,16.547,13.155,3.391,1.037053,130.925,37.477,11,536267.88,2056376
matrices/strong/thermal2.mtx,strong,mpiio,16,8,OK,10.404,8.084,2.320,1.649403,130.925,37.477,11,536267.88,2056376
matrices/strong/thermal2.mtx,strong,mpiio,32,2,OK,14.943,13.031,1.912,1.148390,130.924,37.477,0,268133.31,1072170
matrices/strong/thermal2.mtx,strong,mpiio,32,4,OK,7.771,5.852,1.920,2.208139,130.924,37.477,0,268133.31,1072170
matrices/strong/thermal2.mtx,strong,mpiio,64,2,OK,15.737,13.093,2.644,1.090463,130.924,74.954,0,134065.73,1023518
matrices/strong/poisson.mtx,strong,mpiio,1,2,OK,0.459,0.010,0.449,1.536439,5.383,0.103,352762,352762.00,352762
