matrix;approach;variant;threads;schedule;chunk;block_rows;p90_ms;gflops;bandwidth
bcsstk13.mtx;parallel(omp+csr);loop;16;static;16;0;0.045616;1.882797;18.827969
bcsstk13.mtx;parallel(omp+csr);loop;16;static;32;0;0.034302;2.503784;25.037845
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;0;0;0.254100;0.338001;3.380005
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;1;0;0.226136;0.379797;3.797975
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;4;0;0.080798;1.062974;10.629742
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;8;0;0.058198;1.475746;14.757464
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;16;0;0.055373;1.551053;15.510527
bcsstk13.mtx;parallel(omp+csr);loop;16;dynamic;32;0;0.036789;2.334550;23.345499
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;0;0;0.059934;1.433002;14.330017
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;1;0;0.050005;1.717563;17.175630
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;4;0;0.054296;1.581808;15.818077
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;8;0;0.042951;1.999640;19.996398
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;16;0;0.044040;1.950165;19.501647
bcsstk13.mtx;parallel(omp+csr);loop;16;guided;32;0;0.039149;2.193819;21.938194
bcsstk13.mtx;parallel(omp+csr);loop;32;static;0;0;0.031846;2.696947;26.969465
bcsstk13.mtx;parallel(omp+csr);loop;32;static;1;0;9.551633;0.008992;0.089918
bcsstk13.mtx;parallel(omp+csr);loop;32;static;4;0;9.816287;0.008749;0.087493
bcsstk13.mtx;parallel(omp+csr);loop;32;static;8;0;14.159122;0.006066;0.060658
bcsstk13.mtx;parallel(omp+csr);loop;32;static;16;0;9.934545;0.008645;0.086452
bcsstk13.mtx;parallel(omp+csr);loop;32;static;32;0;15.055314;0.005705;0.057047
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;0;0;10.456188;0.008214;0.082139
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;1;0;14.382454;0.005972;0.059716
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;4;0;9.812998;0.008752;0.087523
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;8;0;14.196282;0.006050;0.060499
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;16;0;9.912260;0.008665;0.086646
bcsstk13.mtx;parallel(omp+csr);loop;32;dynamic;32;0;10.438383;0.008228;0.082279
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;0;0;9.955058;0.008627;0.086274
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;1;0;10.054206;0.008542;0.085423
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;4;0;10.768594;0.007976;0.079756
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;8;0;14.776031;0.005813;0.058125
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;16;0;0.069736;1.231595;12.315953
bcsstk13.mtx;parallel(omp+csr);loop;32;guided;32;0;9.963136;0.008620;0.086204
west0479.mtx;parallel(omp+csr);loop;1;static;0;0;0.003770;1.013264;10.132643
west0479.mtx;parallel(omp+csr);loop;1;static;1;0;0.003729;1.024399;10.243990
west0479.mtx;parallel(omp+csr);loop;1;static;4;0;0.003429;1.113985;11.139853
west0479.mtx;parallel(omp+csr);loop;1;static;8;0;0.003554;1.074867;10.748673
west0479.mtx;parallel(omp+csr);loop;1;static;16;0;0.003461;1.103793;11.037927
west0479.mtx;parallel(omp+csr);loop;1;static;32;0;0.003541;1.078825;10.788253
west0479.mtx;parallel(omp+csr);loop;1;dynamic;0;0;0.021614;0.176736;1.767362
west0479.mtx;parallel(omp+csr);loop;1;dynamic;1;0;0.011912;0.320695;3.206954
west0479.mtx;parallel(omp+csr);loop;1;dynamic;4;0;0.006275;0.608741;6.087405
west0479.mtx;parallel(omp+csr);loop;1;dynamic;8;0;0.005705;0.669555;6.695550
